batch_id,grade,id,dimension,band,difficulty_rank,template_family,question_text,option_A,option_B,option_C,option_D,correct_answer,explanation_step_1,explanation_step_2,explanation_step_3,final_answer,time_target_sec,solution_type,solution_data,explanation
ADAPT_G6-8_BANK_400,6,G6_Q11,QR,A2,3,ratio_missing,"The ratio of boys to girls is 2:6. If there are 18 boys, how many girls are there?",72,54,45,63,B,"Step 1: 2 parts = 18, so 1 part = 9.",Step 2: Girls = 6 parts = 6 × 9 = 54.,,54,60,ratio,ratio=2|6;given_boys=18;result=54,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 54."
ADAPT_G6-8_BANK_400,6,G6_Q12,QR,A2,3,percent_of,What is 25% of 100?,25,22,30,27,A,Step 1: Convert 25% to a fraction/decimal.,Step 2: 25% of 100 = 25.,,25,60,percent,percent=25;base=100;result=25,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 25."
ADAPT_G6-8_BANK_400,6,G6_Q13,QR,A2,3,decimal_add,What is 1.2 + 3.0?,4.1,4.2,4.4,4.7,B,Step 1: Add the decimals.,Step 2: 1.2 + 3.0 = 4.2.,,4.2,60,arithmetic,operation=decimal_addition;operands=1.2|3.0;result=4.2,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 4.2."
ADAPT_G6-8_BANK_400,6,G6_Q14,QR,A2,4,percent_of,What is 25% of 60?,20,12,15,17,C,Step 1: Convert 25% to a fraction/decimal.,Step 2: 25% of 60 = 15.,,15,60,percent,percent=25;base=60;result=15,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 15."
ADAPT_G6-8_BANK_400,6,G6_Q15,QR,A2,3,unit_conv,A rope is 7 meters long. How many centimeters is that?,7000,700,70,750,B,Step 1: 1 meter = 100 centimeters.,Step 2: 7 × 100 = 700 centimeters.,,700,60,arithmetic,operation=unit_conversion;meters=7;cm_per_m=100;result=700,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 700."
ADAPT_G6-8_BANK_400,6,G6_Q16,QR,B1,6,unit_conv,A rope is 2 meters long. How many centimeters is that?,20,2000,250,200,D,Step 1: 1 meter = 100 centimeters.,Step 2: 2 × 100 = 200 centimeters.,,200,75,arithmetic,operation=unit_conversion;meters=2;cm_per_m=100;result=200,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 200."
ADAPT_G6-8_BANK_400,6,G6_Q17,QR,B1,6,ratio_word,"Red:Blue marbles are in the ratio 5:2. If there are 14 blue marbles, how many red marbles are there?",35,42,28,49,A,"Step 1: 2 parts = 14, so 1 part = 7.",Step 2: Red = 5 parts = 5 × 7 = 35.,,35,75,ratio,ratio=5|2;given_blue=14;result=35,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 35."
ADAPT_G6-8_BANK_400,6,G6_Q18,QR,B1,6,percent_change,A number increases by 10% from 100. What is the new number?,115,112,108,110,D,Step 1: 10% of 100 = 10.,Step 2: New number = 100 + 10 = 110.,,110,75,percent,start=100;percent_increase=10;result=110,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 110."
ADAPT_G6-8_BANK_400,6,G6_Q19,QR,B1,5,percent_change,A number increases by 20% from 40. What is the new number?,46,50,48,53,C,Step 1: 20% of 40 = 8.,Step 2: New number = 40 + 8 = 48.,,48,75,percent,start=40;percent_increase=20;result=48,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 48."
ADAPT_G6-8_BANK_400,6,G6_Q20,QR,B1,5,ratio_word,"Red:Blue marbles are in the ratio 3:4. If there are 20 blue marbles, how many red marbles are there?",25,20,10,15,D,"Step 1: 4 parts = 20, so 1 part = 5.",Step 2: Red = 3 parts = 3 × 5 = 15.,,15,75,ratio,ratio=3|4;given_blue=20;result=15,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 15."
ADAPT_G6-8_BANK_400,6,G6_Q21,QR,B1,6,multistep_word,Ravi has 15 stickers and gets 23 more. He gives away 9. How many stickers does he have now?,34,27,29,31,C,Step 1: Total after getting more = 15 + 23 = 38.,Step 2: Give away 9: 38 ? 9 = 29.,,29,75,word_problem,operation=add_then_sub;operands=15|23|9;result=29,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 29."
ADAPT_G6-8_BANK_400,6,G6_Q22,QR,B2,7,linear_eq,Solve: x + 11 = 18,8,9,6,7,D,Step 1: Subtract 11 from both sides.,Step 2: x = 18 ? 11 = 7.,,7,90,linear_equation,equation=x+11=18;solution=7,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 7."
ADAPT_G6-8_BANK_400,6,G6_Q23,QR,B2,8,ratio_word,"Red:Blue marbles are in the ratio 5:3. If there are 18 blue marbles, how many red marbles are there?",36,24,30,42,C,"Step 1: 3 parts = 18, so 1 part = 6.",Step 2: Red = 5 parts = 5 × 6 = 30.,,30,90,ratio,ratio=5|3;given_blue=18;result=30,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 30."
ADAPT_G6-8_BANK_400,6,G6_Q24,LR,A1,2,letter_seq,"Which comes next: G, I, K, M, ?",N,O,P,Q,B,Step 1: The letters skip one each time (+2 letters).,Step 2: After M comes O.,,O,45,logic_rule,type=letter_sequence;rule=+2_letters;result=O,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : O."
ADAPT_G6-8_BANK_400,6,G6_Q25,LR,A1,1,letter_seq,"Which comes next: A, C, E, G, ?",H,I,J,K,B,Step 1: The letters skip one each time (+2 letters).,Step 2: After G comes I.,,I,45,logic_rule,type=letter_sequence;rule=+2_letters;result=I,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : I."
ADAPT_G6-8_BANK_400,6,G6_Q26,LR,A1,1,odd_one_out,Which one does NOT belong?,Triangle,Square,Circle,Rectangle,C,Step 1: Check which option is different from the others.,Step 2: Circle has no straight sides.,,Circle,45,logic_rule,type=classification;odd=Circle,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Circle."
ADAPT_G6-8_BANK_400,6,G6_Q29,LR,A1,2,letter_seq,"Which comes next: C, E, G, I, ?",J,K,L,M,B,Step 1: The letters skip one each time (+2 letters).,Step 2: After I comes K.,,K,45,logic_rule,type=letter_sequence;rule=+2_letters;result=K,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : K."
ADAPT_G6-8_BANK_400,6,G6_Q30,LR,A2,3,ordering_3,Nisha is taller than Sam. Sam is taller than Ravi. Who is the shortest?,Nisha,Sam,Ravi,Cannot be determined,C,Step 1: Nisha > Sam.,Step 2: Sam > Ravi.,Step 3: So Ravi is the shortest.,Ravi,60,logic_rule,rules=Nisha>Sam|Sam>Ravi;solution=Ravi,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Ravi."
ADAPT_G6-8_BANK_400,6,G6_Q31,LR,A2,3,ordering_3,Ravi is taller than Aarav. Aarav is taller than Nisha. Who is the shortest?,Ravi,Aarav,Nisha,Cannot be determined,C,Step 1: Ravi > Aarav.,Step 2: Aarav > Nisha.,Step 3: So Nisha is the shortest.,Nisha,60,logic_rule,rules=Ravi>Aarav|Aarav>Nisha;solution=Nisha,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Nisha."
ADAPT_G6-8_BANK_400,6,G6_Q32,LR,A2,3,ordering_3,Riya is taller than Nisha. Nisha is taller than Aarav. Who is the shortest?,Riya,Nisha,Aarav,Cannot be determined,C,Step 1: Riya > Nisha.,Step 2: Nisha > Aarav.,Step 3: So Aarav is the shortest.,Aarav,60,logic_rule,rules=Riya>Nisha|Nisha>Aarav;solution=Aarav,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Aarav."
ADAPT_G6-8_BANK_400,6,G6_Q33,LR,A2,3,if_then,"If it rains, the ground gets wet. It is raining. What must be true?",The ground is wet,The ground is dry,It will not rain tomorrow,The ground will freeze,A,Step 1: Rule: If it rains ? ground gets wet.,"Step 2: It is raining, so the ground is wet.",,The ground is wet,60,logic_rule,rules=Rain->Wet;given=Rain;solution=Wet,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : The ground is wet."
ADAPT_G6-8_BANK_400,6,G6_Q34,LR,A2,3,ordering_3,Nisha is taller than Ravi. Ravi is taller than Riya. Who is the shortest?,Nisha,Ravi,Riya,Cannot be determined,C,Step 1: Nisha > Ravi.,Step 2: Ravi > Riya.,Step 3: So Riya is the shortest.,Riya,60,logic_rule,rules=Nisha>Ravi|Ravi>Riya;solution=Riya,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Riya."
ADAPT_G6-8_BANK_400,6,G6_Q35,LR,A2,3,ordering_3,Meena is taller than Ravi. Ravi is taller than Sam. Who is the shortest?,Meena,Ravi,Sam,Cannot be determined,C,Step 1: Meena > Ravi.,Step 2: Ravi > Sam.,Step 3: So Sam is the shortest.,Sam,60,logic_rule,rules=Meena>Ravi|Ravi>Sam;solution=Sam,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Sam."
ADAPT_G6-8_BANK_400,6,G6_Q36,LR,A2,3,ordering_3,Aarav is taller than Meena. Meena is taller than Kavya. Who is the shortest?,Aarav,Meena,Kavya,Cannot be determined,C,Step 1: Aarav > Meena.,Step 2: Meena > Kavya.,Step 3: So Kavya is the shortest.,Kavya,60,logic_rule,rules=Aarav>Meena|Meena>Kavya;solution=Kavya,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Kavya."
ADAPT_G6-8_BANK_400,6,G6_Q37,LR,A2,4,ordering_3,Ravi is taller than Riya. Riya is taller than Aarav. Who is the shortest?,Ravi,Riya,Aarav,Cannot be determined,C,Step 1: Ravi > Riya.,Step 2: Riya > Aarav.,Step 3: So Aarav is the shortest.,Aarav,60,logic_rule,rules=Ravi>Riya|Riya>Aarav;solution=Aarav,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Aarav."
ADAPT_G6-8_BANK_400,6,G6_Q38,LR,B1,5,ordering_4,"Four friends stand in a line: Asha, Esha, Farah, Dev. Asha is before Esha. Farah is before Dev. Which statement must be true?",Esha is first,Asha is before Esha,Dev is before Farah,Farah is last,B,Step 1: One rule given is 'Asha is before Esha'.,Step 2: That must always be true.,,Asha is before Esha,75,logic_rule,rules=Asha_before_Esha|Farah_before_Dev;solution=Asha_before_Esha,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Asha is before Esha."
ADAPT_G6-8_BANK_400,6,G6_Q39,LR,B1,5,ordering_4,"Four friends stand in a line: Dev, Farah, Esha, Asha. Dev is before Farah. Esha is before Asha. Which statement must be true?",Farah is first,Dev is before Farah,Asha is before Esha,Esha is last,B,Step 1: One rule given is 'Dev is before Farah'.,Step 2: That must always be true.,,Dev is before Farah,75,logic_rule,rules=Dev_before_Farah|Esha_before_Asha;solution=Dev_before_Farah,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Dev is before Farah."
ADAPT_G6-8_BANK_400,6,G6_Q40,LR,B1,5,ordering_4,"Four friends stand in a line: Bala, Dev, Asha, Farah. Bala is before Dev. Asha is before Farah. Which statement must be true?",Dev is first,Bala is before Dev,Farah is before Asha,Asha is last,B,Step 1: One rule given is 'Bala is before Dev'.,Step 2: That must always be true.,,Bala is before Dev,75,logic_rule,rules=Bala_before_Dev|Asha_before_Farah;solution=Bala_before_Dev,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Bala is before Dev."
ADAPT_G6-8_BANK_400,6,G6_Q41,LR,B1,5,must_be_true,All cats are animals. Mimi is a cat. What must be true?,Mimi is an animal,Mimi is a dog,All animals are cats,Mimi cannot be an animal,A,Step 1: All cats are animals.,"Step 2: Mimi is a cat, so Mimi is an animal.",,Mimi is an animal,75,logic_rule,rules=AllCatsAnimals|MimiCat;solution=MimiAnimal,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Mimi is an animal."
ADAPT_G6-8_BANK_400,6,G6_Q42,LR,B1,6,ordering_4,"Four friends stand in a line: Chirag, Bala, Asha, Farah. Chirag is before Bala. Asha is before Farah. Which statement must be true?",Bala is first,Chirag is before Bala,Farah is before Asha,Asha is last,B,Step 1: One rule given is 'Chirag is before Bala'.,Step 2: That must always be true.,,Chirag is before Bala,75,logic_rule,rules=Chirag_before_Bala|Asha_before_Farah;solution=Chirag_before_Bala,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Chirag is before Bala."
ADAPT_G6-8_BANK_400,6,G6_Q43,LR,B1,6,ordering_4,"Four friends stand in a line: Farah, Chirag, Asha, Dev. Farah is before Chirag. Asha is before Dev. Which statement must be true?",Chirag is first,Farah is before Chirag,Dev is before Asha,Asha is last,B,Step 1: One rule given is 'Farah is before Chirag'.,Step 2: That must always be true.,,Farah is before Chirag,75,logic_rule,rules=Farah_before_Chirag|Asha_before_Dev;solution=Farah_before_Chirag,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Farah is before Chirag."
ADAPT_G6-8_BANK_400,6,G6_Q44,LR,B2,8,conditional_combo,"If a number is even, it is divisible by 2. 18 is even. What must be true?",18 is divisible by 2,18 is divisible by 5,18 is prime,18 is odd,A,Step 1: Even numbers are divisible by 2.,"Step 2: 18 is even, so it is divisible by 2.",,18 is divisible by 2,90,logic_rule,rules=Even->DivBy2;given=18_even;solution=18_divby2,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 18 is divisible by 2."
ADAPT_G6-8_BANK_400,6,G6_Q45,LR,B2,7,constraint_line,"In a race, A finished before B. B finished before C. Which statement must be true?",A finished before C,C finished before A,B finished last,A finished last,A,Step 1: A before B and B before C.,Step 2: So A must be before C.,,A finished before C,90,logic_rule,rules=A<B|B<C;solution=A<C,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : A finished before C."
ADAPT_G6-8_BANK_400,6,G6_Q46,PAR,A1,2,seq_plus,"Find the next number: 3, 5, 7, 9, ?",9,11,13,15,B,Step 1: The pattern adds 2 each time.,Step 2: 9 + 2 = 11.,,11,45,sequence,rule=+2;sequence=3|5|7|9;result=11,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 11."
ADAPT_G6-8_BANK_400,6,G6_Q47,PAR,A1,1,seq_plus,"Find the next number: 4, 9, 14, 19, ?",19,24,29,34,B,Step 1: The pattern adds 5 each time.,Step 2: 19 + 5 = 24.,,24,45,sequence,rule=+5;sequence=4|9|14|19;result=24,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 24."
ADAPT_G6-8_BANK_400,6,G6_Q48,PAR,A1,1,seq_plus,"Find the next number: 1, 7, 13, 19, ?",19,25,31,37,B,Step 1: The pattern adds 6 each time.,Step 2: 19 + 6 = 25.,,25,45,sequence,rule=+6;sequence=1|7|13|19;result=25,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 25."
ADAPT_G6-8_BANK_400,6,G6_Q49,PAR,A1,2,seq_times2,"Find the next number: 6, 12, 24, 48, ?",92,96,100,48,B,Step 1: Each number is multiplied by 2.,Step 2: 48 × 2 = 96.,,96,45,sequence,rule=×2;sequence=6|12|24|48;result=96,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 96."
ADAPT_G6-8_BANK_400,6,G6_Q50,PAR,A1,1,seq_times2,"Find the next number: 4, 8, 16, 32, ?",60,64,68,32,B,Step 1: Each number is multiplied by 2.,Step 2: 32 × 2 = 64.,,64,45,sequence,rule=×2;sequence=4|8|16|32;result=64,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 64."
ADAPT_G6-8_BANK_400,6,G6_Q51,PAR,A1,1,seq_times2,"Find the next number: 3, 6, 12, 24, ?",44,48,52,24,B,Step 1: Each number is multiplied by 2.,Step 2: 24 × 2 = 48.,,48,45,sequence,rule=×2;sequence=3|6|12|24;result=48,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 48."
ADAPT_G6-8_BANK_400,6,G6_Q52,PAR,A2,4,analogy_opposites,Choose the best match: Tall : Short :: Up : ?,Down,Left,Right,Fast,A,Step 1: The first pair are opposites.,Step 2: The opposite of Up is Down.,,Down,60,analogy,type=opposites;pair=Up:Down,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : Down."
ADAPT_G6-8_BANK_400,6,G6_Q53,PAR,A2,3,analogy_factor,Complete: 4 is to 12 as 5 is to ?,12,15,18,16,B,Step 1: 4 becomes 12 by multiplying by 3.,Step 2: 5 × 3 = 15.,,15,60,analogy,rule=×3;input=5;result=15,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 15."
ADAPT_G6-8_BANK_400,6,G6_Q54,PAR,A2,3,alt_rule,"Find the next number: 3, 6, 4, 7, 5, ?",7,8,9,10,B,"Step 1: The pattern alternates +3, then ?2.",Step 2: Continue the +3 step after the last term.,,8,60,sequence,rule=+3_-2_alternating;sequence=3|6|4|7|5;result=8,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 8."
ADAPT_G6-8_BANK_400,6,G6_Q55,PAR,A2,3,analogy_factor,Complete: 6 is to 12 as 7 is to ?,12,14,16,15,B,Step 1: 6 becomes 12 by multiplying by 2.,Step 2: 7 × 2 = 14.,,14,60,analogy,rule=×2;input=7;result=14,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 14."
ADAPT_G6-8_BANK_400,6,G6_Q56,PAR,A2,3,analogy_factor,Complete: 3 is to 12 as 4 is to ?,12,16,20,17,B,Step 1: 3 becomes 12 by multiplying by 4.,Step 2: 4 × 4 = 16.,,16,60,analogy,rule=×4;input=4;result=16,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 16."
